,Title,Year,Genre,Plot,Kind,Gross,lemmatized_Plot
2,Insiang,1976,Drama,"Trapped in the slums, Insiang finds living with her disapproving, sharp-tongued mother, Tonya, trying. Tonya, having long ago been abandoned by her husband, takes her bitterness out on those around her. In a fit of anger, she finally throws out her husband's relatives who have been living with her, but it's not for the sake of their not bringing in money anymore, which it seems on the surface. She's making way for her boyfriend, Dado, to move in. Dado, the town bully, is young enough to be her son, and this new living situation becomes the talk of the town. It isn't long before he forces himself upon Insiang. Tonya is at first outraged but soon takes Dado's side and blames her daughter for her own rape. Insiang leaves home to seek support and solace from her ardent would-be boyfriend Bebot, but he proves to be another Lothario as well. Forced to return home, Insiang turns this inescapable situation upon itself to exact revenge.Written bystatmanjeff",movie,,"['trap', 'slum', 'insiang', 'find', 'live', 'disapprove', 'sharptongued', 'mother', 'try', 'long', 'ago', 'abandon', 'husband', 'take', 'bitterness', 'fit', 'anger', 'finally', 'throw', 'husband', 'relative', 'live', 'sake', 'bring', 'money', 'anymore', 'seem', 'surface', 'make', 'way', 'boyfriend', 'dado', 'move', 'dado', 'town', 'bully', 'young', 'enough', 'son', 'new', 'living', 'situation', 'become', 'talk', 'town', 'long', 'force', 'insiang', 'tonya', 'first', 'outraged', 'soon', 'take', 'dado', 'side', 'blame', 'daughter', 'rape', 'insiang', 'leave', 'home', 'seek', 'support', 'solace', 'ardent', 'wouldbe', 'boyfriend', 'bebot', 'prove', 'lothario', 'well', 'force', 'return', 'home', 'insiang', 'turn', 'inescapable', 'situation']"
4,Foolish Love,2017,"Comedy, Romance","A story of young friends in their adventures and misadventures about love. Cai is a single mother who struggles in making ends meet for her children. Miho is offered with indecent proposals by her son's boss, but she turned him down and chose barista, Tommy Esguerra, who expressed his love for her.Angeline starts a search for the man in her recurring dreams about her childhood. One evening, after a day of searching, she meets Jake Cuenca, a deluded psychotic pretending to be the real ""kababata"" in her dreams. She falls for him and in the course of the story, Jake dies. The story ends where Angeline visits Jake's grave and reveals that her long search for the man in her dreams is a disfigured hilarious guy Jerald Napoles.Written byanonymous",movie,,"['story', 'young', 'friend', 'adventures_misadventure', 'love', 'single', 'mother', 'struggle', 'make', 'child', 'offer', 'indecent', 'proposal', 'son', 'boss', 'turn', 'chose', 'barista', 'tommy', 'esguerra', 'express', 'love', 'herangeline', 'start', 'search', 'man', 'recur', 'dream', 'childhood', 'evening', 'day', 'searching', 'meet', 'deluded', 'psychotic', 'pretend', 'real', 'kababata', 'dream', 'fall', 'course', 'story', 'jake', 'die', 'story', 'end', 'angeline', 'visit', 'jake', 'grave', 'reveal', 'long', 'search', 'man', 'dream', 'disfigure', 'hilarious', 'guy', 'jerald', 'napole']"
5,Sunday Night Fever,2020,"Romance, Thriller","Mikey (Diether Ocampo) is at the peak of his career as a chef, but to everyone's confusion, he remains single and unattached. Unbeknownst to them, beneath his manly and innocent good looks lies an insatiable, dark secret. Armed with a telescope, he spies on unsuspecting women inside condo units across his own. One fateful night, his sights catch onto Kim (Nathalie Hart) as she makes love to her rich middle-aged partner, Rudy (Ricky Davao). Their worlds collide when Kim and Rudy begins frequenting the posh restaurant Mikey co-owns. With a common desire to satisfy their needs, Kim and Mikey embark on a dangerous love affair that puts their lives in peril.Written byiWant",movie,,"['peak', 'career', 'chef', 'everyone', 'confusion', 'remain', 'single', 'unattached', 'unbeknownst', 'manly', 'innocent', 'good', 'look', 'lie', 'insatiable', 'dark', 'secret', 'armed', 'telescope', 'spy', 'unsuspecting', 'woman', 'condo', 'unit', 'fateful', 'night', 'sight', 'catch', 'hart', 'make', 'love', 'rich', 'middleaged', 'partner', 'rudy', 'world', 'collide', 'begin', 'frequent', 'posh', 'restaurant', 'mikey', 'coowns', 'common', 'desire', 'satisfy', 'need', 'mikey', 'embark', 'dangerous', 'love', 'affair', 'put', 'life', 'peril']"
6,Hulihin: probinsiyanong mandurukot,1993,Comedy,Rene Requiestas plays a man recently arrived from the province who meets a pretty young woman (Ruffa Gutierrez) who turns out to be a snatcher. She becomes his love interest and becomes a snatcher himself.,movie,,"['rene_requiesta', 'play', 'man', 'recently', 'arrive', 'province', 'meet', 'pretty', 'young', 'woman', 'ruffa', 'turn', 'snatcher', 'become', 'love', 'interest', 'become', 'snatcher']"
7,Virgin People,1984,Drama,"Three sisters live in a paradise where men are metaphorically and literally serpents of temptation. Their father takes his three daughters deep into the woods, far from the nearest town. He dies, leaving the girls educated enough to read from the Bible, ignorant enough to allow men to take advantage of them.Written bypiratacubeme",movie,,"['sister', 'live', 'paradise', 'man', 'metaphorically', 'literally', 'serpent', 'temptation', 'father', 'take', 'daughter', 'deep', 'wood', 'far', 'near', 'town', 'die', 'leave', 'girl', 'educate', 'enough', 'read', 'bible', 'ignorant', 'enough', 'allow', 'man', 'take', 'advantage']"
9,Tunay na tunay: Gets mo? Gets ko!,2000,"Action, Comedy, Romance","For years, mob boss Don Julio (Efren Reyes Jr.) has been the target of police investigation, led by honest cop Col. Alano (Gammy Viray). Quite a number of police deep penetration agents (DPA's) have been placed into Don Julio's organization. But somehow, Don Julio manages to find and kill them. Except for one. With the suspicion that an insider from their ranks have been tipping Don Julio of the DPA's identities, Col. Alano sends in agent Nick Abeleda (a.k.a. Abner) (Robin Padilla) without the knowledge of his superiors. Nick manages to hide his real identity, until the day of Don Julio and his men are captured except Kaliwete (Dindo Arroyo), his right-hand man. With Don Julio's syndicate destroyed, Nick is now ready to go back to the regular Police Force.Written byledster",movie,,"['year', 'mob', 'boss', 'efren', 'jr', 'target', 'police', 'investigation', 'lead', 'honest', 'cop', 'col', 'alano', 'gammy', 'viray', 'quite', 'number', 'police', 'deep', 'penetration', 'agent', 'dpa', 'place', 'julio', 'organization', 'somehow', 'manage', 'find', 'kill', 'suspicion', 'insider', 'rank', 'tip', 'julio', 'dpa', 'identity', 'col', 'alano', 'send', 'agent', 'nick', 'aka', 'knowledge', 'superior', 'nick', 'manage', 'hide', 'real', 'identity', 'day', 'man', 'capture', 'kaliwete', 'dindo', 'arroyo', 'righthand', 'man', 'julio', 'syndicate', 'destroy', 'nick', 'ready', 'go', 'back', 'regular', 'police', 'force']"
11,Yellow Rose,2019,"Drama, Music","Rose, an undocumented 17 year old Filipina, dreams of one day leaving her small Texas town to pursue her country music dreams. Her world is shattered when her mom suddenly gets picked up by Immigration and Customs Enforcement. Rose, facing this new realty, is forced to flee the scene, leaving behind the only life she knows, and embarks on a journey of self-discovery as she searches for a new home in the honky tonk world of Austin, Texas.Written byCecilia Mejia",movie,"$367,849","['rise', 'undocumented', 'filipina', 'dream', 'day', 'leave', 'small', 'texas', 'town', 'pursue', 'country', 'music', 'dream', 'world', 'shatter', 'mom', 'suddenly', 'pick', 'immigration', 'custom', 'enforcement', 'rise', 'face', 'new', 'realty', 'force', 'flee', 'scene', 'leave', 'life', 'know', 'embark', 'journey', 'selfdiscovery', 'search', 'new', 'home', 'honky', 'tonk', 'world', 'austin']"
12,Ilustrado,2014,Drama,"Near the end of the 19th century, 35-year-old Jos Rizal turned into the Philippines' most beloved hero when he was martyred by the Spanish colonial government at Bagumbayan. He died an extraordinary man of his times: renowned novelist, poet, ophthalmologist, journalist, and linguist. But behind these achievements, there remained the story of a man every Filipino can relate and connect to. Like today's overseas Filipino, Rizal needed to leave his family to fulfill his studies and career abroad, suffering from homesickness, and enduring a long-distance relationship with the woman he loved most. He was also the best example of the Filipino who came back home and used the knowledge and skills he learned abroad to help improve the lives of his family and countrymen.",tv,,"['end', 'th_century', 'jos', 'rizal', 'turn', 'philippine', 'beloved', 'hero', 'martyr', 'spanish', 'colonial', 'government', 'bagumbayan', 'die', 'extraordinary', 'man', 'renowned', 'novelist', 'poet', 'ophthalmologist', 'journalist', 'linguist', 'achievement', 'remain', 'story', 'man', 'filipino', 'relate', 'connect', 'todays', 'overseas', 'filipino', 'rizal', 'need', 'leave', 'family', 'fulfill', 'study', 'career', 'abroad', 'suffer', 'homesickness', 'endure', 'longdistance', 'relationship', 'woman', 'love', 'also', 'good', 'example', 'filipino', 'come', 'back', 'home', 'use', 'knowledge', 'skill', 'learn', 'abroad', 'help', 'improve', 'life', 'family', 'countryman']"
15,Ang pagdadalaga ni Maximo Oliveros,2005,Drama,"Can a 12-year old lad who wishes he were a girl navigate the mean streets of Manila? Maxi cooks, cleans, and sews for his father and older brothers who are petty criminals. He's sweet, clever and hardworking, at ease with being gay, pinning a flower in his hair, swinging his hips when he walks, vamping with friends. He's seen adults hug and kiss and he's watched romantic movies, so on the verge of puberty, he develops a crush on Victor, a kindly young cop. Maxi's heart and loyalties are on a collision course: Victor is investigating crimes that lead him to Maxi's family. In the land of the morning, is there a place for this child of the sun returning?Written by<jhailey@hotmail.com>",movie,"$38,691","['lad', 'wish', 'girl', 'navigate', 'mean', 'street', 'manila', 'maxi', 'cook', 'clean', 'sew', 'father', 'old', 'brother', 'petty', 'criminal', 'he_s', 'sweet', 'clever', 'hardworking', 'ease', 'gay', 'pin', 'flower', 'hair', 'swinge', 'hip', 'walk', 'vamp', 'friend', 'he_s', 'see', 'adult', 'kiss', 'watch', 'romantic', 'movie', 'verge', 'puberty', 'develop', 'crush', 'victor', 'kindly', 'young', 'cop', 'maxis', 'heart', 'loyalty', 'collision', 'course', 'victor', 'investigate', 'crime', 'lead', 'family', 'land', 'morning', 'place', 'child', 'sun', 'return']"
16,Patayin mo sa sindak si Barbara,1974,"Horror, Mystery",There is something strange about this motion picture.,movie,,['strange']
17,Babagwa,2013,Drama,"A man, Greg, whose going past his heyday as a bodybuilder and facing problems both with his quarreling parents and over-bearing girlfriend turns to conning people for money using a made-up Facebook account as part of an elaborate scheme devised by his manager, Marney. Their operation gets compromised when Greg falls in love with their latest victim, Daisy, an older, single woman. This is a story of deceptive people and how they feed on other people's want for love, sex and money.Written byBuddyBoy60",movie,,"['man', 'go', 'past', 'heyday', 'bodybuilder', 'face', 'problem', 'quarrel', 'parent', 'overbearing', 'girlfriend', 'turn', 'con', 'people', 'money', 'use', 'madeup', 'facebook', 'account', 'part', 'elaborate', 'scheme', 'devise', 'manager', 'marney', 'operation', 'compromise', 'greg', 'fall', 'love', 'late', 'victim', 'daisy', 'old', 'single', 'woman', 'story', 'deceptive', 'people', 'feed', 'people', 'want', 'love', 'sex', 'money']"
18,Ipaglaban mo,2014,"Crime, Drama, Thriller","ABS-CBN's long-running crime drama series that tackles all of the criminal cases from the Supreme Court and Court of Appeals. Crimes, interrogations, confrontations, and court scenes are the points of the program. Hosted by Atty. Jose C. Sison and his son Jopet Sison to narrate the criminal cases of the people.Written byEdmund Nishikata",tv,,"['abscbns', 'longrunning', 'crime', 'drama', 'series', 'tackle', 'criminal', 'case', 'supreme', 'court', 'court', 'appeal', 'crime', 'interrogation', 'confrontation', 'court', 'scene', 'point', 'program', 'host', 'atty', 'jose', 'c', 'sison', 'son', 'jopet', 'sison', 'narrate', 'criminal', 'case', 'people']"
19,Swipe,2017,Drama,"When a CCTV is installed in an apartment, it starts to record their activities and show the tenant's private lives. It tells the story of Loida who is a lady guard, Gloria whose marriage has recently been annulled, Frank who is a married man and actively engaging into gay dating sites and Janet and Edward who are the new tenants hoping to make a clean start in their marriage.Written byanonymous",movie,,"['cctv', 'instal', 'apartment', 'start', 'record', 'activity', 'show', 'tenant', 'private', 'life', 'tell', 'story', 'loida', 'lady', 'guard', 'marriage', 'recently', 'annul', 'frank', 'marry', 'man', 'actively', 'engage', 'gay', 'date', 'site', 'edward', 'new', 'tenant', 'hope', 'make', 'clean', 'start', 'marriage']"
21,Eerie,2018,"Horror, Mystery, Thriller","The unexpected and gruesome death of a student threatens the existence of an old Catholic school for girls. Pat Consolacion (Bea Alonzo), the school guidance counselor, involves herself with the students in the hopes of helping them cope, and at the same time uncover the mysteries of the student's death. Most students suspect of the strict and borderline abusive Mother Alice (Charo Santos-Concio), who also threatened Pat's tenure in the school because of her continuous meddling with the case. But Pat's unusual talents lead her to knowing Eri, a former student who's been watching the whole school for years. Piece by piece, Pat uncovers the secret of the school and the monster that it nurtured for the past century.Written byStar Cinema",movie,,"['unexpected', 'gruesome', 'death', 'student', 'threaten', 'existence', 'old', 'catholic', 'school', 'girl', 'pat', 'consolacion', 'school', 'guidance', 'counselor', 'involve', 'student', 'hope', 'cope', 'time', 'uncover', 'mystery', 'student', 'death', 'student', 'suspect', 'strict', 'borderline', 'abusive', 'mother', 'charo', 'santosconcio', 'also', 'threaten', 'pat', 'tenure', 'school', 'continuous', 'meddling', 'case', 'pat', 'unusual', 'talent', 'lead', 'know', 'former', 'student', 'watch', 'whole', 'school', 'year', 'piece', 'piece', 'pat', 'uncover', 'secret', 'school', 'monster', 'nurture', 'century']"
24,Para sa broken hearted,2018,Drama,"Three interweaving stories of broken hearts, that tackle the pain of heartbreak, acceptance, moving on and the courage to learn to love again.",movie,,"['interweave', 'story', 'break', 'heart', 'tackle', 'pain', 'heartbreak', 'acceptance', 'move', 'courage', 'learn', 'love']"
26,Squad Goals,2018,Comedy,"Five boys finds connection in each other while dealing with school, love and family problems.",movie,,"['boy', 'find', 'connection', 'deal', 'school', 'love', 'family', 'problem']"
27,Bakekang,2006,"Drama, Romance","A loving heart trapped beneath an ugly facade, ignored and unappreciated by those who fail to see beyond what is skin-deep. She is a woman whose only desire is to feel a little affection from the world that has deprived her of everything she has always longed for. In GMA Network's newest prime-time drama Bakekang, the unusual face of an unlikely heroine will emerge to present a riveting story of an ugly woman's rise from a sorry state of ridicule to the pedestal of triumph and coveted fame. Created by top-selling comics novelist and award-winning director Carlo J. Caparas, Bakekang is a comics classic serialized in Bondying Komiks which was made into a movie in 1978 with no less than Philippine show-business' superstar Nora Aunor portraying the title role.Written byigma.tv",tv,,"['love', 'heart', 'trap', 'ugly', 'facade', 'ignore', 'unappreciated', 'fail', 'see', 'skindeep', 'woman', 'desire', 'feel', 'little', 'affection', 'world', 'deprive', 'always', 'long', 'gma', 'network', 'new', 'primetime', 'drama', 'bakekang', 'unusual', 'face', 'unlikely', 'heroine', 'emerge', 'present', 'riveting', 'story', 'ugly', 'womans', 'rise', 'sorry', 'state', 'ridicule', 'pedestal', 'triumph', 'coveted', 'fame', 'create', 'topselle', 'comic_strip', 'novelist', 'awardwinning', 'director', 'carlo', 'bakekang', 'comic_strip', 'classic', 'serialize', 'bondying', 'komiks', 'make', 'movie', 'less', 'philippine', 'showbusiness', 'superstar', 'portray', 'title', 'role']"
28,Island Dreams,2013,"Comedy, Romance",An unaccredited tour guide and a heartbroken tourist form a romantic bond as they explore the wilds of Philippine Islands.,movie,,"['unaccredited', 'tour', 'guide', 'heartbroken', 'tourist', 'form', 'romantic', 'bond', 'explore', 'philippine', 'island']"
